latitude,longitude,value
90.0,-164.1796875,0.82626843
90.0,-162.421875,0.82626843
90.0,-160.6640625,0.82626843
90.0,-151.875,0.719564
90.0,-150.1171875,0.719564
90.0,-123.75,1.1086227
90.0,-121.9921875,1.1086227
90.0,-107.9296875,1.1236589
90.0,-106.171875,0.9981355
90.0,-104.4140625,0.8199365
90.0,-97.3828125,1.0888017
90.0,-95.625,1.0888017
90.0,-93.8671875,1.0888017
90.0,-92.109375,0.9988704
90.0,-90.3515625,0.9988704
90.0,-88.59375,0.9988704
90.0,-86.8359375,1.0077074
90.0,-85.078125,1.0077074
90.0,-83.3203125,1.0077074
90.0,-81.5625,1.0391215
90.0,-79.8046875,1.0391215
90.0,-46.40625,1.0724852
90.0,-44.6484375,1.0724852
90.0,-42.890625,0.94781715
90.0,-41.1328125,0.89915556
90.0,-37.6171875,1.0820973
90.0,-35.859375,1.0820973
90.0,-34.1015625,1.0820973
90.0,-27.0703125,1.1062831
90.0,-25.3125,1.1062831
90.0,-23.5546875,1.1062831
90.0,-21.796875,1.0980586
90.0,-20.0390625,1.1062831
90.0,-18.28125,1.1062831
90.0,-16.5234375,1.1062831
90.0,-14.765625,1.1062831
90.0,4.5703125,0.9729647
90.0,6.328125,0.9729647
90.0,36.2109375,1.2381018
90.0,45.0,1.1348063
90.0,46.7578125,1.1348063
90.0,48.515625,1.1348063
90.0,50.2734375,1.3262169
90.0,52.03125,1.3262169
90.0,53.7890625,1.3086598
90.0,55.546875,1.3268329
90.0,57.3046875,1.6611954
90.0,66.09375,1.0831507
90.0,67.8515625,1.0621045
90.0,69.609375,1.0621045
90.0,83.671875,1.3904161
90.0,85.4296875,1.2936033
90.0,87.1875,1.2936033
90.0,90.703125,1.1438093
90.0,92.4609375,1.1470269
90.0,95.9765625,1.2148823
90.0,99.4921875,1.2590404
90.0,110.0390625,0.8398355
90.0,111.796875,0.84023416
90.0,113.5546875,0.84023416
90.0,115.3125,0.84023416
90.0,117.0703125,0.83759004
90.0,145.1953125,0.8013113
90.0,146.953125,0.84730387
90.0,148.7109375,0.9112749
88.2421875,-180.0,0.8875663
88.2421875,-178.2421875,0.8751585
88.2421875,-176.484375,0.9313253
88.2421875,-174.7265625,0.9123795
88.2421875,-172.96875,0.9623347
88.2421875,-171.2109375,0.8977878
88.2421875,-169.453125,0.8729643
88.2421875,-167.6953125,0.79840535
88.2421875,-165.9375,0.7894038
88.2421875,-164.1796875,0.80484396
88.2421875,-162.421875,0.81593
88.2421875,-160.6640625,0.82574034
88.2421875,-158.90625,0.8221869
88.2421875,-157.1484375,0.80124104
88.2421875,-155.390625,0.8130875
88.2421875,-153.6328125,0.8178433
88.2421875,-151.875,0.81927025
88.2421875,-150.1171875,0.8226314
88.2421875,-148.359375,0.80951303
88.2421875,-146.6015625,0.81429577
88.2421875,-144.84375,0.81783414
88.2421875,-143.0859375,0.81897867
88.2421875,-141.328125,0.8301398
88.2421875,-139.5703125,0.842898
88.2421875,-137.8125,0.8487827
88.2421875,-136.0546875,0.85476875
88.2421875,-134.296875,0.85194874
88.2421875,-132.5390625,0.8526838
88.2421875,-130.78125,0.8570156
88.2421875,-129.0234375,0.86273897
88.2421875,-127.265625,0.86395514
88.2421875,-125.5078125,0.86776656
88.2421875,-123.75,0.87262136
